trace,D,replication,start_inst,total_cycles,exec_time_ms,pct_int,pct_fp,pct_branch,pct_load,pct_store
compute_fp_1,1,1,1,1317872,1.31787,25.7445,28.8089,25.7444,19.7022,0
compute_fp_1,1,2,5000000,1316938,1.31694,25.7059,28.8705,25.7056,19.718,0
compute_fp_1,1,3,10000000,1311129,1.31113,25.4635,29.2584,25.4635,19.8146,0
compute_fp_1,1,4,15000000,808243,0.808243,19.5213,25.7144,3.2817,38.6254,12.8572
compute_fp_1,1,5,20000000,807809,0.807809,19.4822,25.736,3.2683,38.6455,12.868
compute_fp_1,1,6,25000000,807575,0.807575,19.46,25.7477,3.2615,38.6569,12.8739
compute_fp_1,2,1,1,1605961,1.3383,25.7445,28.8089,25.7444,19.7022,0
compute_fp_1,2,2,5000000,1605643,1.33804,25.7059,28.8705,25.7056,19.718,0
compute_fp_1,2,3,10000000,1603713,1.33643,25.4635,29.2584,25.4635,19.8146,0
compute_fp_1,2,4,15000000,936815,0.780679,19.5213,25.7144,3.2817,38.6254,12.8572
compute_fp_1,2,5,20000000,936490,0.780408,19.4822,25.736,3.2683,38.6455,12.868
compute_fp_1,2,6,25000000,936314,0.780262,19.46,25.7477,3.2615,38.6569,12.8739
compute_fp_1,3,1,1,1711916,1.00701,25.7445,28.8089,25.7444,19.7022,0
compute_fp_1,3,2,5000000,1711290,1.00664,25.7059,28.8705,25.7056,19.718,0
compute_fp_1,3,3,10000000,1707421,1.00437,25.4635,29.2584,25.4635,19.8146,0
compute_fp_1,3,4,15000000,1516161,0.891859,19.5213,25.7144,3.2817,38.6254,12.8572
compute_fp_1,3,5,20000000,1516148,0.891852,19.4822,25.736,3.2683,38.6455,12.868
compute_fp_1,3,6,25000000,1516151,0.891854,19.46,25.7477,3.2615,38.6569,12.8739
compute_fp_1,4,1,1,1908939,1.06052,25.7445,28.8089,25.7444,19.7022,0
compute_fp_1,4,2,5000000,1908465,1.06026,25.7059,28.8705,25.7056,19.718,0
compute_fp_1,4,3,10000000,1905567,1.05865,25.4635,29.2584,25.4635,19.8146,0
